bigger.high,Brand39,DiffLag2.smaller.low,DiffLag2.three_ten_package_number.low,DiffLag2.yes.low,DiffLag3.other.low,DiffLag3.smaller.low,DiffLag3.ten_thirty_package_number.low,DiffLag3.three_ten_package_number.low,DiffLag3.urethane.low,DiffLag3.yes.low,DiffLag3.zero_three_package_number.low,DiffRoll3.ten_thirty_package_number.low,disease.high,gauze.high,interval.peak.law..govt.and.politics.high,interval.peak.shows.and.events.low,interval.peak.travel.low,keywords_df1051.high,keywords_df1231.high,keywords_df1556.high,keywords_df1674.high,keywords_df1736.high,keywords_df1736.low,keywords_df1829.low,keywords_df2.low,keywords_df2506,keywords_df2560,keywords_df2995.high,keywords_df300,keywords_df3057.high,keywords_df3148.high,keywords_df3150.low,keywords_df3450,keywords_df3829,keywords_df3883,keywords_df4318.high,keywords_df4471.high,keywords_df4473.low,keywords_df4771,keywords_df5050,keywords_df5796.low,keywords_df680,keywords_df7156.low,keywords_df7218.low,keywords_df7311.low,keywords_df734,keywords_df7523.high,keywords_df7535.high,keywords_df7661.high,keywords_df7723.high,keywords_df7961.high,keywords_df8228.high,keywords_df8228.low,keywords_df8303.high,keywords_df8303.low,kids.high,Lag1..health.and.fitness.disease,Lag1..health.and.fitness.disease.epidemic,Lag1.bigger.high,Lag1.Brand22,Lag1.Brand32,Lag1.Brand39,Lag1.cloth.high,Lag1.disease.high,Lag1.gauze_share.low,Lag1.health.and.fitness.high,Lag1.interval.peak.law..govt.and.politics.high,Lag1.kids.high,Lag1.no.high,Lag1.nonwoven.high,Lag1.nonwoven_share.high,Lag1.other_share.low,Lag1.regular.high,Lag1.yes.high,Lag2..health.and.fitness.disease,Lag2..health.and.fitness.disease.epidemic,Lag2.bigger.high,Lag2.Brand22,Lag2.Brand32,Lag2.Brand45,Lag2.cloth.high,Lag2.disease.high,Lag2.health.and.fitness.high,Lag2.interval.peak.disease.low,Lag2.interval.peak.travel.low,Lag2.no.high,Lag2.no_share.high,Lag2.nonwoven_share.high,Lag2.other_share.low,Lag2.over_thirty_package_number.high,Lag2.regular.high,Lag2.ten_thirty_package_number.high,Lag2.urethane.high,Lag2.yes.high,Lag2.zero_three_package_number.high,Lag3..health.and.fitness.disease,Lag3..health.and.fitness.disease.epidemic,Lag3.bigger.high,Lag3.Brand22,Lag3.Brand31,Lag3.Brand32,Lag3.Brand39,Lag3.Brand45,Lag3.cloth.high,Lag3.interval.peak.shopping.high,Lag3.interval.peak.travel.low,Lag3.no_share.high,Lag3.nonwoven.high,Lag3.nonwoven_share.high,Lag3.other_share.low,Lag3.ten_thirty_package_number.high,Lag3.urethane.high,no.high,nonwoven.high,nonwoven_share.high,other_share.low,regular.high,Roll3.cloth.high,Roll3.disease.high,Roll3.epidemic.high,Roll3.gauze.high,Roll3.health.and.fitness.high,Roll3.interval.peak.shows.and.events.low,Roll3.interval.peak.travel.low,Roll3.nonwoven.high,Roll3.nonwoven_share.high,Roll3.other_share.low,Roll3.ten_thirty_package_number.high,Roll3.yes.high,spike,three_ten_package_number.high,X.health.and.fitness.disease,yes.high,zero_three_package_number.high
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
