"","variables","cases","total_successes","total_failures","hiper_count_overall","hiper_count_fail","hiper_count_success","mean_overall","mean_fail","mean_success","success_odds","fail_odds","odds_ratio","log10_odds_ratio"
"spike","spike",69,9,60,9,0,9,0.130434782608696,0,1,0,0,0,0
"Brand0","Brand0",69,9,60,74,62,12,1.07246376811594,1.03333333333333,1.33333333333333,-4,-31,0.129032258064516,-0.88930170250631
"Brand1","Brand1",69,9,60,105,89,16,1.52173913043478,1.48333333333333,1.77777777777778,-2.28571428571429,-3.06896551724138,0.744783306581059,-0.127970066104289
"Brand2","Brand2",69,9,60,133,116,17,1.92753623188406,1.93333333333333,1.88888888888889,-2.125,-2.07142857142857,1.02586206896552,0.0110889721656122
"Brand3","Brand3",69,9,60,135,117,18,1.95652173913043,1.95,2,-2,-2.05263157894737,0.974358974358974,-0.0112810104096891
"Brand5","Brand5",69,9,60,77,65,12,1.11594202898551,1.08333333333333,1.33333333333333,-4,-13,0.307692307692308,-0.511883360978874
"Brand6","Brand6",69,9,60,78,67,11,1.1304347826087,1.11666666666667,1.22222222222222,-5.5,-9.57142857142857,0.574626865671642,-0.240614073192326
"Brand7","Brand7",69,9,60,127,109,18,1.84057971014493,1.81666666666667,2,-2,-2.22448979591837,0.899082568807339,-0.0462004222481288
"Brand8","Brand8",69,9,60,111,93,18,1.60869565217391,1.55,2,-2,-2.81818181818182,0.709677419354839,-0.148939013012066
"Brand9","Brand9",69,9,60,85,71,14,1.23188405797101,1.18333333333333,1.55555555555556,-2.8,-6.45454545454545,0.433802816901408,-0.362707632218631
"Brand10","Brand10",69,9,60,83,70,13,1.20289855072464,1.16666666666667,1.44444444444444,-3.25,-7,0.464285714285714,-0.333214679035382
"Brand11","Brand11",69,9,60,73,64,9,1.05797101449275,1.06666666666667,1,0,-16,0,0
"Brand13","Brand13",69,9,60,131,114,17,1.89855072463768,1.9,1.88888888888889,-2.125,-2.11111111111111,1.00657894736842,0.00284784287282624
"Brand14","Brand14",69,9,60,71,62,9,1.02898550724638,1.03333333333333,1,0,-31,0,0
"Brand15","Brand15",69,9,60,136,118,18,1.97101449275362,1.96666666666667,2,-2,-2.03448275862069,0.983050847457627,-0.00742401807920689
"Brand17","Brand17",69,9,60,89,75,14,1.28985507246377,1.25,1.55555555555556,-2.8,-5,0.56,-0.2518119729938
"Brand18","Brand18",69,9,60,71,62,9,1.02898550724638,1.03333333333333,1,0,-31,0,0
"Brand19","Brand19",69,9,60,88,73,15,1.27536231884058,1.21666666666667,1.66666666666667,-2.5,-5.61538461538461,0.445205479452055,-0.351439499141581
"Brand21","Brand21",69,9,60,130,114,16,1.88405797101449,1.9,1.77777777777778,-2.28571428571429,-2.11111111111111,1.08270676691729,0.0345108511281638
"Brand22","Brand22",69,9,60,95,78,17,1.3768115942029,1.3,1.88888888888889,-2.125,-4.33333333333333,0.490384615384615,-0.309463163200844
"Brand23","Brand23",69,9,60,112,99,13,1.6231884057971,1.65,1.44444444444444,-3.25,-2.53846153846154,1.28030303030303,0.107312773407824
"Brand24","Brand24",69,9,60,73,64,9,1.05797101449275,1.06666666666667,1,0,-16,0,0
"Brand26","Brand26",69,9,60,136,118,18,1.97101449275362,1.96666666666667,2,-2,-2.03448275862069,0.983050847457627,-0.00742401807920689
"Brand27","Brand27",69,9,60,99,84,15,1.43478260869565,1.4,1.66666666666667,-2.5,-3.5,0.714285714285714,-0.146128035678238
"Brand28","Brand28",69,9,60,74,64,10,1.07246376811594,1.06666666666667,1.11111111111111,-10,-16,0.625,-0.204119982655925
"Brand30","Brand30",69,9,60,133,115,18,1.92753623188406,1.91666666666667,2,-2,-2.09090909090909,0.956521739130435,-0.0193051551953866
"Brand31","Brand31",69,9,60,77,64,13,1.11594202898551,1.06666666666667,1.44444444444444,-3.25,-16,0.203125,-0.69223662167705
"Brand32","Brand32",69,9,60,80,67,13,1.15942028985507,1.11666666666667,1.44444444444444,-3.25,-9.57142857142857,0.33955223880597,-0.469093401707695
"Brand33","Brand33",69,9,60,132,116,16,1.91304347826087,1.93333333333333,1.77777777777778,-2.28571428571429,-2.07142857142857,1.10344827586207,0.0427519804209498
"Brand34","Brand34",69,9,60,128,111,17,1.85507246376812,1.85,1.88888888888889,-2.125,-2.17647058823529,0.976351351351351,-0.0103938683023907
"Brand36","Brand36",69,9,60,71,60,11,1.02898550724638,1,1.22222222222222,-5.5,Inf,0,0
"Brand38","Brand38",69,9,60,106,90,16,1.53623188405797,1.5,1.77777777777778,-2.28571428571429,-3,0.761904761904762,-0.118099312077995
"Brand39","Brand39",69,9,60,81,65,16,1.17391304347826,1.08333333333333,1.77777777777778,-2.28571428571429,-13,0.175824175824176,-0.754921409665169
"Brand40","Brand40",69,9,60,130,112,18,1.88405797101449,1.86666666666667,2,-2,-2.15384615384615,0.928571428571429,-0.0321846833714012
"Brand42","Brand42",69,9,60,73,62,11,1.05797101449275,1.03333333333333,1.22222222222222,-5.5,-31,0.17741935483871,-0.750999004340029
"Brand43","Brand43",69,9,60,102,86,16,1.47826086956522,1.43333333333333,1.77777777777778,-2.28571428571429,-3.30769230769231,0.691029900332226,-0.160503160631082
"Brand44","Brand44",69,9,60,129,113,16,1.8695652173913,1.88333333333333,1.77777777777778,-2.28571428571429,-2.13207547169811,1.07206068268015,0.0302193687590372
"Brand45","Brand45",69,9,60,88,72,16,1.27536231884058,1.2,1.77777777777778,-2.28571428571429,-6,0.380952380952381,-0.419129307741976
"Brand46","Brand46",69,9,60,72,61,11,1.04347826086957,1.01666666666667,1.22222222222222,-5.5,-61,0.0901639344262295,-1.04496714551652
"Brand47","Brand47",69,9,60,131,113,18,1.89855072463768,1.88333333333333,2,-2,-2.13207547169811,0.938053097345133,-0.0277725782186495
"Lag1.Brand0","Lag1.Brand0",69,9,60,74,62,12,1.07246376811594,1.03333333333333,1.33333333333333,-4,-31,0.129032258064516,-0.88930170250631
"Lag1.Brand1","Lag1.Brand1",69,9,60,105,89,16,1.52173913043478,1.48333333333333,1.77777777777778,-2.28571428571429,-3.06896551724138,0.744783306581059,-0.127970066104289
"Lag1.Brand2","Lag1.Brand2",69,9,60,133,115,18,1.92753623188406,1.91666666666667,2,-2,-2.09090909090909,0.956521739130435,-0.0193051551953866
"Lag1.Brand3","Lag1.Brand3",69,9,60,135,117,18,1.95652173913043,1.95,2,-2,-2.05263157894737,0.974358974358974,-0.0112810104096891
"Lag1.Brand5","Lag1.Brand5",69,9,60,77,66,11,1.11594202898551,1.1,1.22222222222222,-5.5,-11,0.5,-0.301029995663981
"Lag1.Brand6","Lag1.Brand6",69,9,60,77,67,10,1.11594202898551,1.11666666666667,1.11111111111111,-10,-9.57142857142857,1.04477611940299,0.0190232373134305
"Lag1.Brand7","Lag1.Brand7",69,9,60,128,110,18,1.85507246376812,1.83333333333333,2,-2,-2.2,0.909090909090909,-0.0413926851582251
"Lag1.Brand8","Lag1.Brand8",69,9,60,110,93,17,1.59420289855072,1.55,1.88888888888889,-2.125,-2.81818181818182,0.754032258064516,-0.122610074289717
"Lag1.Brand9","Lag1.Brand9",69,9,60,85,71,14,1.23188405797101,1.18333333333333,1.55555555555556,-2.8,-6.45454545454545,0.433802816901408,-0.362707632218631
"Lag1.Brand10","Lag1.Brand10",69,9,60,82,70,12,1.18840579710145,1.16666666666667,1.33333333333333,-4,-7,0.571428571428571,-0.243038048686294
"Lag1.Brand11","Lag1.Brand11",69,9,60,72,63,9,1.04347826086957,1.05,1,0,-21,0,0
"Lag1.Brand13","Lag1.Brand13",69,9,60,132,115,17,1.91304347826087,1.91666666666667,1.88888888888889,-2.125,-2.09090909090909,1.01630434782609,0.00702378352696249
"Lag1.Brand14","Lag1.Brand14",69,9,60,71,62,9,1.02898550724638,1.03333333333333,1,0,-31,0,0
"Lag1.Brand15","Lag1.Brand15",69,9,60,136,118,18,1.97101449275362,1.96666666666667,2,-2,-2.03448275862069,0.983050847457627,-0.00742401807920689
"Lag1.Brand17","Lag1.Brand17",69,9,60,89,76,13,1.28985507246377,1.26666666666667,1.44444444444444,-3.25,-4.75,0.684210526315789,-0.164810248645992
"Lag1.Brand18","Lag1.Brand18",69,9,60,71,62,9,1.02898550724638,1.03333333333333,1,0,-31,0,0
"Lag1.Brand19","Lag1.Brand19",69,9,60,87,73,14,1.26086956521739,1.21666666666667,1.55555555555556,-2.8,-5.61538461538461,0.498630136986301,-0.3022214764714
"Lag1.Brand21","Lag1.Brand21",69,9,60,131,114,17,1.89855072463768,1.9,1.88888888888889,-2.125,-2.11111111111111,1.00657894736842,0.00284784287282624
"Lag1.Brand22","Lag1.Brand22",69,9,60,96,78,18,1.39130434782609,1.3,2,-2,-4.33333333333333,0.461538461538462,-0.335792101923193
"Lag1.Brand23","Lag1.Brand23",69,9,60,113,100,13,1.63768115942029,1.66666666666667,1.44444444444444,-3.25,-2.5,1.3,0.113943352306837
"Lag1.Brand24","Lag1.Brand24",69,9,60,73,64,9,1.05797101449275,1.06666666666667,1,0,-16,0,0
"Lag1.Brand27","Lag1.Brand27",69,9,60,99,83,16,1.43478260869565,1.38333333333333,1.77777777777778,-2.28571428571429,-3.60869565217391,0.633390705679862,-0.198328313716813
"Lag1.Brand28","Lag1.Brand28",69,9,60,74,64,10,1.07246376811594,1.06666666666667,1.11111111111111,-10,-16,0.625,-0.204119982655925
"Lag1.Brand30","Lag1.Brand30",69,9,60,134,116,18,1.94202898550725,1.93333333333333,2,-2,-2.07142857142857,0.96551724137931,-0.0152399665567369
"Lag1.Brand31","Lag1.Brand31",69,9,60,77,64,13,1.11594202898551,1.06666666666667,1.44444444444444,-3.25,-16,0.203125,-0.69223662167705
"Lag1.Brand32","Lag1.Brand32",69,9,60,79,65,14,1.14492753623188,1.08333333333333,1.55555555555556,-2.8,-13,0.215384615384615,-0.666785320964618
"Lag1.Brand33","Lag1.Brand33",69,9,60,132,115,17,1.91304347826087,1.91666666666667,1.88888888888889,-2.125,-2.09090909090909,1.01630434782609,0.00702378352696249
"Lag1.Brand34","Lag1.Brand34",69,9,60,128,111,17,1.85507246376812,1.85,1.88888888888889,-2.125,-2.17647058823529,0.976351351351351,-0.0103938683023907
"Lag1.Brand36","Lag1.Brand36",69,9,60,71,60,11,1.02898550724638,1,1.22222222222222,-5.5,Inf,0,0
"Lag1.Brand38","Lag1.Brand38",69,9,60,107,90,17,1.55072463768116,1.5,1.88888888888889,-2.125,-3,0.708333333333333,-0.149762320333332
"Lag1.Brand39","Lag1.Brand39",69,9,60,81,64,17,1.17391304347826,1.06666666666667,1.88888888888889,-2.125,-16,0.1328125,-0.876761048269594
"Lag1.Brand40","Lag1.Brand40",69,9,60,131,113,18,1.89855072463768,1.88333333333333,2,-2,-2.13207547169811,0.938053097345133,-0.0277725782186495
"Lag1.Brand42","Lag1.Brand42",69,9,60,73,63,10,1.05797101449275,1.05,1.11111111111111,-10,-21,0.476190476190476,-0.322219294733919
"Lag1.Brand43","Lag1.Brand43",69,9,60,103,88,15,1.49275362318841,1.46666666666667,1.66666666666667,-2.5,-3.14285714285714,0.795454545454546,-0.0993846321359118
"Lag1.Brand44","Lag1.Brand44",69,9,60,130,114,16,1.88405797101449,1.9,1.77777777777778,-2.28571428571429,-2.11111111111111,1.08270676691729,0.0345108511281638
"Lag1.Brand45","Lag1.Brand45",69,9,60,87,71,16,1.26086956521739,1.18333333333333,1.77777777777778,-2.28571428571429,-6.45454545454545,0.354124748490946,-0.450843720919182
"Lag1.Brand46","Lag1.Brand46",69,9,60,72,61,11,1.04347826086957,1.01666666666667,1.22222222222222,-5.5,-61,0.0901639344262295,-1.04496714551652
"Lag1.Brand47","Lag1.Brand47",69,9,60,132,114,18,1.91304347826087,1.9,2,-2,-2.11111111111111,0.947368421052632,-0.0234810958495229
"Lag2.Brand0","Lag2.Brand0",69,9,60,74,63,11,1.07246376811594,1.05,1.22222222222222,-5.5,-21,0.261904761904762,-0.581856605239675
"Lag2.Brand1","Lag2.Brand1",69,9,60,105,90,15,1.52173913043478,1.5,1.66666666666667,-2.5,-3,0.833333333333333,-0.0791812460476248
"Lag2.Brand2","Lag2.Brand2",69,9,60,133,115,18,1.92753623188406,1.91666666666667,2,-2,-2.09090909090909,0.956521739130435,-0.0193051551953866
"Lag2.Brand3","Lag2.Brand3",69,9,60,135,117,18,1.95652173913043,1.95,2,-2,-2.05263157894737,0.974358974358974,-0.0112810104096891
"Lag2.Brand5","Lag2.Brand5",69,9,60,77,67,10,1.11594202898551,1.11666666666667,1.11111111111111,-10,-9.57142857142857,1.04477611940299,0.0190232373134305
